PA,PitchofPA,Batter,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,Angle,Direction,Distance,PlateLocHeight,PlateLocSide,PitchCall,TaggedHitType,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,PitcherThrows,ExitSpeed,RelSpeed,is_single,is_double,is_triple,is_home_run
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Fastball,Undefined,7.358149,165.821667,,2.76751,0.18663,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,76.57773,88.65119,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Curveball,Undefined,50.355736,146.182628,,2.70598,0.97327,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,56.73096,76.30362,False,False,False,False
,3,"Caulfield, Garen",2.0,0.0,Undefined,Fastball,Undefined,,,,5.09659,0.92736,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,88.82779,False,False,False,False
,4,"Caulfield, Garen",2.0,1.0,Undefined,Curveball,HomeRun,30.511815,-24.742441,427.53962,2.21621,0.39373,InPlay,FlyBall,1.0,1.0,4.0,1.0,,140.0,0,0,1,,0.0,20241004-UArizona-Private-1,Right,104.64023,77.00608,False,False,False,True
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Sinker,Undefined,,,,2.80339,1.91744,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,91.69852,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Sinker,Undefined,58.639839,145.652064,,2.3954,0.37815,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,75.34702,91.89229,False,False,False,False
,3,"Caulfield, Garen",1.0,1.0,Undefined,Cutter,Undefined,,,,0.97644,-0.91396,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,88.22294,False,False,False,False
,4,"Caulfield, Garen",1.0,2.0,Undefined,Sinker,Undefined,61.985013,126.851201,,1.90426,0.36068,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,75.95881,93.31029,False,False,False,False
,5,"Caulfield, Garen",2.0,2.0,Undefined,Slider,Single,18.258283,-28.868481,285.26713,3.39514,0.00302,InPlay,LineDrive,1.0,1.0,1.0,1.0,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,97.52747,82.35835,True,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Fastball,Undefined,,,,1.08571,0.13202,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,89.79176,False,False,False,False
,2,"Caulfield, Garen",1.0,0.0,Undefined,Fastball,Undefined,,,,2.73161,1.57424,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,89.6871,False,False,False,False
,3,"Caulfield, Garen",1.0,1.0,Undefined,Slider,Undefined,,,,1.38292,-0.59226,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,79.67861,False,False,False,False
,4,"Caulfield, Garen",1.0,2.0,Undefined,Fastball,Undefined,,,,2.18677,-1.4149,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20241004-UArizona-Private-1,Right,,89.64598,False,False,False,False
