Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,Location
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.58993, -1.01264)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.28763, -0.58851)"
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.13523, -1.71722)"
Hitter's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.2035, -2.0405)"
Hitter's Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(3.1326, 0.31048)"
Hitter's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.80305, -1.63863)"
Hitter's Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan,"(3.58178, 2.05282)"
Full Count,Fastball,Out,Popup,InPlay,32.980962,3.154226,383.24845,"(2.17638, -0.53825)"
Full Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,34.118563,54.487454,nan,"(1.62631, -0.18192)"
Full Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(2.66105, 0.06714)"
Full Count,Fastball,Undefined,Undefined,FoulBallFieldable,56.231876,36.725778,210.12825,"(2.11605, 0.39053)"
Full Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.31997, 0.87573)"
Full Count,Slider,Double,LineDrive,InPlay,18.674736,-17.312827,399.28208,"(1.106, -0.02532)"
Full Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(1.06938, 0.33791)"
Full Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.3223, 1.2547)"
Full Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.00443, -0.64105)"
Full Count,Slider,Single,GroundBall,InPlay,-2.723317,-3.683551,23.45922,"(1.52457, -0.26226)"
Full Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,14.598157,175.418737,112.92815,"(3.78144, -0.55163)"
Full Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.73118, -0.40988)"
