PA,PitchofPA,Batter,TaggedPitchType,PlayResult,Angle,Direction,AdjustedDirection,Distance,PlateLocHeight,PlateLocSide,CountType,PitchCall,ExitSpeed,KorBB,PositionAt110X,PositionAt110Y,PositionAt110Z,PitcherThrows,TaggedHitType,ContactPositionX,ContactPositionY,ContactPositionZ,swing,whiff,RelSpeed
1.0,1,"Caulfield, Garen",Fastball,Undefined,7.358149,165.821667,-165.821667,,2.76751,0.18663,0-0 Count,FoulBallNotFieldable,76.57773,Undefined,,,,Right,Undefined,1.83536,3.10784,-0.81351,,,88.65119
,2,"Caulfield, Garen",Curveball,Undefined,50.355736,146.182628,-146.182628,,2.70598,0.97327,Neutral Count,FoulBallNotFieldable,56.73096,Undefined,,,,Right,Undefined,1.53773,2.46451,-1.00042,,,76.30362
,3,"Caulfield, Garen",Fastball,Undefined,,,,,5.09659,0.92736,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,88.82779
,4,"Caulfield, Garen",Curveball,HomeRun,30.511815,-24.742441,24.742441,427.53962,2.21621,0.39373,Pitcher's Count,InPlay,104.64023,Undefined,100.09593,61.2511,-45.61554,Right,FlyBall,2.38148,2.18066,-0.33971,1.0,,77.00608
1.0,1,"Caulfield, Garen",Sinker,Undefined,,,,,2.80339,1.91744,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.69852
,2,"Caulfield, Garen",Sinker,Undefined,58.639839,145.652064,-145.652064,,2.3954,0.37815,Neutral Count,FoulBallNotFieldable,75.34702,Undefined,,,,Right,Undefined,2.1101,2.07724,-0.48266,,,91.89229
,3,"Caulfield, Garen",Cutter,Undefined,,,,,0.97644,-0.91396,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,88.22294
,4,"Caulfield, Garen",Sinker,Undefined,61.985013,126.851201,-126.851201,,1.90426,0.36068,Hitter's Count,FoulBallNotFieldable,75.95881,Undefined,,,,Right,Undefined,2.13688,1.4931,-0.5169,,,93.31029
,5,"Caulfield, Garen",Slider,Single,18.258283,-28.868481,28.868481,285.26713,3.39514,0.00302,Pitcher's Count,InPlay,97.52747,Undefined,94.51962,28.02832,-56.26628,Right,LineDrive,2.2828,3.22473,-0.08062,1.0,,82.35835
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,1.08571,0.13202,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,89.79176
,2,"Caulfield, Garen",Fastball,Undefined,,,,,2.73161,1.57424,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,89.6871
,3,"Caulfield, Garen",Slider,Undefined,,,,,1.38292,-0.59226,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,79.67861
,4,"Caulfield, Garen",Fastball,Undefined,,,,,2.18677,-1.4149,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,89.64598
,5,"Caulfield, Garen",Fastball,Out,62.569429,15.419469,-15.419469,,1.98274,0.04633,Hitter's Count,InPlay,85.66502,Undefined,,,,Right,Popup,1.88121,2.11089,-0.1553,1.0,,89.20887
1.0,1,"Caulfield, Garen",Fastball,Single,11.610955,10.427969,-10.427969,219.476,3.06867,-0.20889,0-0 Count,InPlay,105.68055,Undefined,106.96698,14.9507,25.64914,Right,LineDrive,1.20407,2.79615,0.15214,1.0,,88.91896
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,2.86499,-0.76484,0-0 Count,StrikeSwinging,,Undefined,,,,Right,Undefined,,,,1.0,1.0,79.00103
